Cinémas;;
 Kinepolis (unité - 6mois); Lomme;5.50 € 
 UGC (6mois-1 an); Lille/Villeneuve d'ascq;5.00 € 
 UGC (6mois-1 an); autres villes;6.00 € 
 AMC (6 mois); Dunkerque;6.00 € 
 Cineville; Hénin-Beaumont;5.50 € 
 OCINE; Maubeuge St Omer;5.50 € 
 Colisée Lumière; Marcq-en-Bl;4.00 € 
 Duplex Cinéma; Roubaix;5.00 € 
 Palace; Cambrai;5.00 € 
 Majestic; Lille;5.00 € 
 Metropole; Lille;5.00 € 
 Gaumont; Valenciennes;6.00 € 
 Gaumont et Pathé; Toutes;6.50 € 
 Majestic; Douai;5.50 € 
 Méga-CGR; Bruay;5.00 € 
 Pathé; Liévin;5.50 € 
;;
Cabarets;;
 Le Palace; Lille;Nous consulter 
 Le Lido; Paris;Nous consulter 
 Crazy Horse; Paris;  Nous consulter 
 Paradis Latin; Paris;Nous consulter 
;;
Sports;;
 Planet Bowling;Lomme;3.50 € 
 PaintBall Concept;Tournai;20.50 € 
 Ice Mountain - 1 heure; avec matériel;12.50 € 
 Nauticaa - lievin; Adultes;2.00 € 
; Enfants (3-15 ans);3.00 € 
 Lille Karting Indoor - Englos;Bon achat de 5 euros;4.00 € 
Piscine Babylone; ;2.00 € 
Patinoire de Wasquehal; Wasquehal;3.50 € 
 Bowling Van Gogh (sauf sam et veille fête); Villeneuve d'Ascq;3.50 € 
 Bad-Squash-Foot 3*3 Le WAM (hors apace); Wambrechies;5.00 € 
 Actobi (hors Apace);;5.00 € 
;;
Parcs de loisirs;;
 Disneyland Paris (1 parc au choix); Adultes;45.50 € 
; Enfants (3-11 ans);39.50 € 
 Disneyland Paris (les deux parcs); Adultes;58.50 € 
; Enfants (3-11 ans);52.00 € 
 Parc Astérix ***; Adultes;31.00 € 
; Enfants (3-11 ans);23.00 € 
 Bagatelle (10/04-25/09); Adultes & Enfants;13.00 € 
 Aqualud (09/04-13/11)***;Adultes;16.00 € 
 Aqualud (09/04-13/11)***;Enfants (-1,4m);15.00 € 
Aqualibi;Adultes;12.00 € 
;Enfants (3-5ans);4.50 € 
 Plopslaland (4/4-3/1); Adultes & Enfants;19.00 € 
 BobbeJaanland ; Adultes & Enfants (>1m);21.50 € 
 Bellewaerde (3/4-7/11)***; Adultes & Enfants (> 1m);20.00 € 
 Dennlys Park (16/4 25/9); Adultes;11.50 € 
; Enfants (3-11 ans);9.50 € 
 Walibi Belgique (3/4-7/11)***; Adultes & Enfants (>3 ans);21.50 € 
 Musée Grévin; Adultes;14.50 € 
; Enfants (6-14 ans);10.00 € 
 Futuroscope; Adultes;31.00 € 
; Enfants (5-16 ans);23.50 € 
 Mer de sable***; Adultes;14.00 € 
 Nausicaa; Adultes;14.00 € 
; Enfants (3-12 ans);9.50 € 
 Centre historique minier de Lewarde; Adultes;9.00 € 
; Enfants (5-18 ans);5.00 € 
 Thoiry(sauf jours fériés); Adultes;22.00 € 
; Enfants (3-14 ans);17.00 € 
 La coupole (St-Omer); Adultes;7.00 € 
; Enfants (5-16 ans);4.00 € 
 Chateau Vaux-le-Vicomte (14/3 18/11)***; Adultes & Enfants (> 6 ans);9.50 € 
Parc les poussins lille citadelle (06/02-11/11);tour manége;1.00 € 
 Kidzy (mer-sam-dim-J fériés); Adultes;gratuit
; Enfants (2-12) ;7.00 € 
 Recreakid Englos (mer-sam-dim-J fériés); Adultes;gratuit
; Enfants;8.00 € 
 Grand parc du Puy du Fou (15/4-26/9) - 1 jour; Adultes;24.50 € 
; Enfants (5-13 ans);16.00 € 
 Grand parc du Puy du Fou (15/4-26/9) - 2 jours; Adultes;36.50 € 
; Enfants (5-13 ans);23.50 € 
 Eco Musée Avesnois; Adultes;3.50 € 
; Enfants (8-17 ans);2.50 € 
 Bateaux Parisiens (1h); Adultes & Enfants (> 3 ans);5.00 € 
 Zoo d'Anvers; Adultes;18.00 € 
; Enfants (3-17 ans);14.50 € 
 Zooparc Beauval; Adultes;18.00 € 
; Enfants (3-10 ans);12.00 € 
Maréis Etaples; Adultes;4.50 € 
; Enfants (4-12 ans);3.50 € 
Pairi daiza; Adultes;19.00 € 
; Enfants (3-11 ans);14.50 € 
Tour Montparnasse; Adultes & Enfants > 6ans;6.00 € 
Bal parc Tournai Hem;;6.50 € 
Domaine de Chantilly; Adultes;16.50 € 
; Enfants (4-17 ans);8.50 € 
